Time(s),DopplerOffset(Hz)
1770480077.661868,27924.43359375
1770480078.661868,27664.32421875
1770480079.661868,27401.2265625
1770480080.661868,27136.97265625
1770480081.661868,26871.4140625
1770480082.661868,26603.365234375
1770480083.661868,26333.15234375
1770480084.661868,26058.474609375
1770480085.661868,25783.439453125
1770480086.661868,25502.666015625
1770480087.661868,25218.73046875
1770480088.661868,24933.755859375
1770480089.661868,24647.490234375
1770480090.661868,24359.17578125
1770480091.661868,24067.0390625
1770480092.661868,23770.6171875
1770480093.661868,23474.93359375
1770480094.661868,23174.974609375
1770480095.661868,22870.44140625
1770480096.661868,22565.333984375
1770480097.661868,22259.93359375
1770480098.661868,21950.955078125
1770480099.661868,21637.654296875
1770480100.661868,21319.525390625
1770480101.661868,21001.337890625
1770480102.661868,20681.345703125
1770480103.661868,20360.453125
1770480104.661868,20036.671875
1770480105.661868,19710.1796875
1770480106.661868,19378.486328125
1770480107.661868,19044.17578125
1770480108.661868,18709.486328125
1770480109.661868,18373.29296875
1770480110.661868,18034.169921875
1770480111.661868,17693.08203125
1770480112.661868,17351.14453125
1770480113.661868,17004.857421875
1770480114.661868,16655.2109375
1770480115.661868,16304.4287109375
1770480116.661868,15953.126953125
1770480117.661868,15600.2568359375
1770480118.661868,15241.6748046875
1770480119.661868,14883.0791015625
1770480120.661868,14522.203125
1770480121.661868,14157.9052734375
1770480122.661868,13792.619140625
1770480123.661868,13426.673828125
1770480124.661868,13059.3564453125
1770480125.661868,12694.865234375
1770480126.661868,12314.55859375
1770480127.661868,11941.572265625
1770480128.661868,11569.0068359375
1770480129.661868,11190.8662109375
1770480130.661868,10810.02734375
1770480131.661868,10428.9677734375
1770480132.661868,10048.6796875
1770480133.661868,9664.8359375
1770480134.661868,9277.44921875
1770480135.661868,8891.2861328125
1770480136.661868,8505.3818359375
1770480137.661868,8118.32666015625
1770480138.661868,7729.85302734375
1770480139.661868,7340.14892578125
1770480140.661868,6949.59375
1770480141.661868,6554.501953125
1770480142.661868,6157.515625
1770480143.661868,5763.3369140625
